delta,theta,lowalpha,highalpha,lowbeta,highbeta,lowgamma,middlegamma,attention,mark
618845,489748,44023,72930,140891,71743,28606,5918,34,0
435834,120698,12024,26852,8625,4257,6886,3949,29,0
161779,359643,18167,9228,5306,6810,6203,2955,30,0
2298283,393272,172210,184957,80658,58384,132669,25392,67,1
133049,35255,4293,2459,15829,5178,2372,842,80,1
988201,388191,95634,14115,55595,19799,7477,4872,70,1
70620,30401,15728,2079,9101,9790,7824,2106,66,1
236230,74671,47917,22347,5812,11296,5645,2999,63,1
1373471,503241,113444,90451,71654,81227,22099,8053,56,1
160111,27980,2567,3598,9496,10944,2635,744,80,1
34195,177426,20140,13866,28740,13035,11136,5290,87,1
726127,33386,3540,11925,16017,9083,1802,822,96,1
1987713,156622,4590,93001,72487,40185,10068,4146,100,1
101077,51242,1153,7146,9853,4959,589,263,84,1
549039,58291,14839,8962,1683,5598,2503,1159,84,1
131414,53000,28311,4243,5253,11796,2191,627,80,1
212789,70061,19383,3794,2870,4359,1458,2143,66,1
177563,48807,2963,21507,8573,21203,3674,2819,81,1
745509,140711,22420,25654,9572,9083,5831,1664,78,1
1952205,364281,79696,20057,24223,65703,10090,7489,80,1
237863,98056,31946,4585,19681,12137,10330,2344,87,1
413908,186237,3824,10638,56586,19018,8327,2925,74,1
84650,31180,4523,2287,4413,1733,971,497,70,1
1136026,220958,48963,37121,15000,21849,6938,2039,61,1
767129,107236,86309,58329,64098,53487,4245,2904,74,1
693849,25434,18851,33541,12373,27622,14357,4229,88,1
200597,16789,3006,4562,3750,3429,795,405,100,1
74870,32233,2578,4892,5331,1439,1704,1393,93,1
689102,126816,34082,5863,34182,13979,8835,1759,80,1
329768,8637,12769,6461,6680,4291,1190,1389,69,1
91677,83010,28932,12338,25383,20503,11223,4136,70,1
393474,76909,38992,93284,78377,43815,14371,1996,91,1
1017701,157570,64180,50794,26774,37281,21137,2423,96,1
48296,36819,43101,14802,31317,38418,14910,3668,100,1
220699,44386,7966,8477,5197,3598,945,1196,94,1
819539,165298,12703,14469,35528,24773,9661,4244,88,1
144732,20910,8368,2248,3642,2616,1051,616,81,1
113544,12020,7369,2636,758,2940,821,320,67,1
27711,38046,23821,6117,7450,7434,2356,572,74,1
30362,3633,1559,1848,657,670,362,346,69,1
60762,39329,30900,6340,16477,30390,4127,1826,87,1
28971,66225,24708,4269,26580,19215,11075,2774,91,1
29027,8205,3294,3034,4914,1590,1109,205,91,1
1375106,52670,14056,19948,40568,7203,5187,2218,91,1
2447244,131512,16971,32256,26252,71739,40789,15934,91,1
732123,1516626,228556,620449,472858,418180,167755,139539,88,1
516111,56153,13217,12199,3126,6662,4614,2651,87,1
481807,76718,4840,26125,47918,61168,24267,4305,100,1
318771,25466,15699,12353,14954,9201,5944,991,93,1
1348776,209278,27431,82116,25014,64878,15094,3251,94,1
934635,594782,14589,115546,69277,67436,12081,11030,93,1
152674,15681,8886,3309,5035,3838,1755,409,80,1
164308,285385,34167,89433,90349,19048,4623,1748,67,1
34540,28514,8489,1232,4363,4680,1013,152,61,1
497744,49772,30683,65925,15886,36831,14644,4478,63,1
265220,4742,1980,4097,1385,3844,2120,604,75,1
166777,24262,19681,15379,7637,11350,9432,3812,91,1
304630,46109,33943,13628,38130,22325,11842,2348,100,1
38807,43582,13946,6420,8017,13195,7731,2007,100,1
814833,70615,4950,5290,49592,22221,6426,3978,97,1
56853,43461,4960,31508,31345,18722,10389,4990,100,1
368542,109842,32229,11738,2686,6134,856,1126,81,1
119420,70572,39367,12531,21417,15113,4291,3058,77,1
172337,48133,38548,2424,8793,3617,1656,423,57,1
102200,69093,4371,1809,3926,2389,1184,760,44,0
188179,148278,62640,35621,4505,10398,4618,3514,44,0
41026,29085,14770,2744,2077,2992,1327,655,41,0
168757,49759,9080,4800,8743,3451,704,413,37,0
159991,141813,2993,27792,6275,15013,7892,1937,44,0
41220,79682,5615,10025,5338,1933,930,459,37,0
196978,35274,6972,5151,4304,2862,438,687,38,0
40397,9417,7417,10995,6137,4239,9635,1709,44,0
18890,12490,2936,9619,7154,14635,2199,1825,64,1
242787,74570,10474,20658,18858,7386,1819,1945,78,1
207052,79896,32785,16852,14097,10514,2156,1423,80,1
332707,26897,5788,10794,44346,13427,5364,6632,84,1
122359,32161,57862,68176,26974,25106,4645,572,70,1
107663,13995,3689,1860,2939,1614,280,50,74,1
25015,9333,4035,6997,6460,8542,1720,1331,90,1
125973,41758,7703,30796,16430,4365,5745,1357,74,1
255451,44137,4994,4335,4023,2439,692,572,60,1
65867,22565,3250,2230,5241,3288,1646,1146,63,1
92213,48457,44215,23255,19590,8535,6144,1903,44,0
141860,35893,33444,10289,7644,8355,5286,2427,60,1
214833,194742,45220,26227,18977,31232,5070,2646,60,1
233195,21381,8847,3844,11755,2527,2707,790,57,1
26225,30436,9661,13173,10300,4352,3335,1780,56,1
106639,24425,4481,7566,14279,3588,1410,1175,57,1
1015877,170343,60340,29557,34972,45671,10444,4251,69,1
60012,63891,22573,10711,13993,4732,8338,2954,63,1
72415,119970,19873,22207,11090,11782,8316,1222,56,1
296872,88185,14191,39303,22401,9349,7104,5235,44,0
106319,16884,10482,11120,17341,18339,3873,2782,66,1
127136,59364,83288,29027,13667,14975,9002,911,67,1
106497,52288,25553,14280,10757,13231,5129,1693,74,1
87697,95832,7520,23113,14687,7231,4134,2781,70,1
42496,48590,50187,4292,6903,13139,3486,1211,57,1
393225,50889,6849,17329,16064,2529,1194,1188,37,0
60652,84732,35414,27845,14813,9571,3607,1012,37,0
216399,9470,4886,10288,4638,4479,933,250,41,0
347559,28696,6672,23666,12858,7742,5354,2412,66,1
2412309,375877,73072,42350,20657,16163,5528,2355,60,1
332995,24843,18690,8227,5764,3298,1008,481,40,0
92258,140181,18176,10404,7666,6653,2371,1183,41,0
64500,95008,19266,12851,17123,3929,4175,2090,34,0
141553,37980,9876,4536,8758,6357,374,346,37,0
647479,57012,46525,11983,3896,13640,1632,1166,43,0
1765074,1132019,74450,13996,43713,44797,19235,9568,41,0
1575360,815279,92713,57427,50312,33778,12098,15588,40,0
679946,212696,20892,1895,31477,3691,6352,808,20,0
86036,23954,3967,578,2100,978,480,338,21,0
514139,40272,23028,24075,13349,8179,5946,2056,21,0
33158,32735,46623,23792,5467,3312,4376,3941,20,0
197477,304773,15455,18855,15112,14905,4427,3480,29,0
111664,73671,9319,12622,19330,9792,3973,624,41,0
41802,35697,15595,18723,10319,8636,5680,2858,43,0
82383,37160,15528,16282,14534,14998,4436,5057,67,1
275554,72519,14007,5127,3641,4413,1971,564,61,1
60523,27910,5825,22930,9857,6514,8319,1552,60,1
62580,15666,6372,6045,37741,4729,6938,1722,67,1
127405,59689,15930,16867,19689,12024,1632,3077,61,1
2398640,140860,37137,55719,7419,13780,8701,2851,63,1
466488,69778,63918,15074,24482,9493,6222,1885,57,1
103480,34959,9114,6212,12271,6999,1815,1001,56,1
212136,18141,3326,6644,16627,2253,739,284,60,1
125521,71250,45759,52624,25215,13994,2637,1142,63,1
352859,75866,21475,21179,11696,12581,2909,2020,60,1
28984,22092,13107,13567,8887,6588,2585,1588,57,1
41273,51801,25696,10873,19755,7122,9899,2779,56,1
136306,28597,39672,8900,11259,6940,4560,2703,44,0
504033,29865,20365,4007,11823,7149,2270,768,57,1
16236,14363,6355,10057,11988,4718,3887,1149,57,1
31357,12356,12850,3088,6382,5209,1505,2026,66,1
113970,63847,12570,10229,10234,9146,1273,2045,64,1
59725,21811,24345,14856,24722,10951,5725,1536,77,1
300430,82612,54708,35725,42407,16491,1474,982,74,1
98950,92639,13570,20625,24568,5056,1947,1133,56,1
393383,134168,30597,19349,23522,18760,6800,2209,44,0
140987,21538,7123,5412,4286,3325,1410,540,43,0
1309701,231041,29971,9307,23401,10164,5981,2807,43,0
1787594,483645,124103,29800,51827,53261,41683,8352,60,1
448269,93014,26046,13516,47879,10224,11682,5814,66,1
17906,7580,6329,4027,4068,2779,935,309,63,1
93216,121034,16128,17373,13373,8452,1800,1040,56,1
905641,76143,13619,8685,24375,26511,5419,2307,67,1
215600,14045,3143,21285,8956,10240,1827,689,80,1
1007886,211897,13164,3795,3534,7199,1824,615,63,1
182693,9243,328,1544,1435,684,80,104,64,1
404461,70359,19875,16893,18451,11642,4612,491,41,0
76642,80953,27861,11373,13113,5350,5194,2591,44,0
262962,51424,23954,11115,3999,5572,1249,318,38,0
340181,128963,44259,20622,19907,10494,7377,1266,37,0
